Rank,Prospect,Pos,Comp_Rank,Comp_Name,Comp_Pos,Comp_Off,Comp_Def,Similarity
52,Rueben Chinyelu,C,3,Yves Missi,C,Athletic Finisher,Mobile Big,74.1
52,Rueben Chinyelu,C,4,Nic Claxton,C,Roll + Cut Big,Mobile Big,68.4
52,Rueben Chinyelu,C,5,Alex Sarr,C,Shot Creator,Mobile Big,59.5
54,Milan Momcilovic,SF/PF,1,Simone Fontecchio,SF,Off Screen Shooter,Helper,89.4
54,Milan Momcilovic,SF/PF,2,Brice Sensabaugh,SF,Movement Shooter,Helper,87.7
54,Milan Momcilovic,SF/PF,3,Klay Thompson,SF,Off Screen Shooter,Helper,87.5
54,Milan Momcilovic,SF/PF,4,Jalen Wilson,PF,Movement Shooter,Helper,86.8
54,Milan Momcilovic,SF/PF,5,Rui Hachimura,PF,Shot Creator,Wing Stopper,86.8
55,Bruce Thornton,PG,1,Desmond Bane,SG,Primary Ball Handler,Chaser,88.8
55,Bruce Thornton,PG,2,Norman Powell,SG,Shot Creator,Chaser,87.3
55,Bruce Thornton,PG,3,Ajay Mitchell,SG,Primary Ball Handler,Point of Attack,85.9
55,Bruce Thornton,PG,4,Tyler Herro,SG,Shot Creator,Chaser,85.2
55,Bruce Thornton,PG,5,Jeremiah Fears,PG,Primary Ball Handler,Point of Attack,85.0
56,Emanuel Sharp,SG,1,Norman Powell,SG,Shot Creator,Chaser,87.6
56,Emanuel Sharp,SG,2,Zach LaVine,SG,Shot Creator,Chaser,84.2
56,Emanuel Sharp,SG,3,Nickeil Alexander-Walker,SG,Primary Ball Handler,Point of Attack,82.4
56,Emanuel Sharp,SG,4,Bryce McGowens,SG,Stationary Shooter,Chaser,82.1
56,Emanuel Sharp,SG,5,Jordan Clarkson,SG,Movement Shooter,Chaser,82.1
57,Paul McNeil Jr.,SG,1,Tim Hardaway Jr.,SG,Off Screen Shooter,Chaser,88.5
57,Paul McNeil Jr.,SG,2,Devin Vassell,SG,Movement Shooter,Chaser,85.3
57,Paul McNeil Jr.,SG,3,Landry Shamet,SG,Movement Shooter,Chaser,84.2
57,Paul McNeil Jr.,SG,4,A.J. Lawson,SG,Movement Shooter,Wing Stopper,83.8
57,Paul McNeil Jr.,SG,5,Moses Moody,SG,Movement Shooter,Chaser,83.8
58,Otega Oweh,SG,1,Ajay Mitchell,SG,Primary Ball Handler,Point of Attack,82.5
58,Otega Oweh,SG,2,Jalen Williams,SG,Shot Creator,Helper,80.8
58,Otega Oweh,SG,3,Devin Carter,PG,Secondary Ball Handler,Point of Attack,80.7
58,Otega Oweh,SG,4,Norman Powell,SG,Shot Creator,Chaser,80.1
58,Otega Oweh,SG,5,Jeremiah Fears,PG,Primary Ball Handler,Point of Attack,77.9
59,Tamin Lipsey,PG,1,Kevin Porter Jr.,PG,Shot Creator,Chaser,82.9
59,Tamin Lipsey,PG,2,Devin Carter,PG,Secondary Ball Handler,Point of Attack,80.9
59,Tamin Lipsey,PG,3,Dru Smith,SG,Shot Creator,Point of Attack,80.9
59,Tamin Lipsey,PG,4,KJ Simpson,PG,Primary Ball Handler,Point of Attack,80.6
59,Tamin Lipsey,PG,5,Daniss Jenkins,PG,Primary Ball Handler,Point of Attack,80.2
60,Trevon Brazile,PF,1,Justin Champagnie,SF,Movement Shooter,Helper,86.4
60,Trevon Brazile,PF,2,P.J. Washington,PF,Shot Creator,Wing Stopper,84.3
60,Trevon Brazile,PF,3,Keshad Johnson,SF,Shot Creator,Helper,84.3
60,Trevon Brazile,PF,4,Jaren Jackson Jr.,C,Shot Creator,Helper,84.2
60,Trevon Brazile,PF,5,Peyton Watson,SF,Movement Shooter,Point of Attack,82.4
61,Baba Miller,SF,1,Paolo Banchero,PF,Shot Creator,Wing Stopper,71.5
61,Baba Miller,SF,2,Jonathan Kuminga,PF,Shot Creator,Wing Stopper,71.2
61,Baba Miller,SF,3,Scottie Barnes,PF,Shot Creator,Wing Stopper,70.4
61,Baba Miller,SF,4,Collin Murray-Boyles,PF,Roll + Cut Big,Mobile Big,70.2
61,Baba Miller,SF,5,Joan Beringer,PF,Roll + Cut Big,Helper,70.1
62,Keyshawn Hall,SF,1,Paolo Banchero,PF,Shot Creator,Wing Stopper,89.3
62,Keyshawn Hall,SF,2,Jonathan Kuminga,PF,Shot Creator,Wing Stopper,85.0
62,Keyshawn Hall,SF,3,Bennedict Mathurin,SF,Secondary Ball Handler,Chaser,81.4
62,Keyshawn Hall,SF,4,Franz Wagner,SF,Shot Creator,Wing Stopper,80.4
62,Keyshawn Hall,SF,5,Jerami Grant,PF,Shot Creator,Wing Stopper,79.2
64,Miles Byrd,SG,1,Bilal Coulibaly,SG,Secondary Ball Handler,Wing Stopper,84.4
64,Miles Byrd,SG,2,Anthony Black,PG,Primary Ball Handler,Point of Attack,79.6
64,Miles Byrd,SG,3,Caris LeVert,SG,Secondary Ball Handler,Chaser,79.3
64,Miles Byrd,SG,4,Alex Caruso,SG,Stationary Shooter,Wing Stopper,77.7
64,Miles Byrd,SG,5,VJ Edgecombe,SG,Primary Ball Handler,Point of Attack,76.2
65,Zvonimir Ivisic,C,1,Isaiah Stewart,C,Stretch Big,Mobile Big,78.9
65,Zvonimir Ivisic,C,2,Jay Huff,C,Stretch Big,Mobile Big,74.3
65,Zvonimir Ivisic,C,3,Donovan Clingan,C,Stretch Big,Anchor Big,72.0
65,Zvonimir Ivisic,C,4,Branden Carlson,C,Stretch Big,Mobile Big,71.9
65,Zvonimir Ivisic,C,5,Khaman Maluach,C,Roll + Cut Big,Helper,71.2
66,Milos Uzan,PG,1,Caleb Love,SG,Shot Creator,Chaser,92.0
66,Milos Uzan,PG,2,Tyrese Proctor,PG,Secondary Ball Handler,Chaser,91.5
66,Milos Uzan,PG,3,Tyrese Martin,SG,Secondary Ball Handler,Chaser,91.3
66,Milos Uzan,PG,4,Kentavious Caldwell-Pope,SG,Secondary Ball Handler,Chaser,89.6
66,Milos Uzan,PG,5,Ayo Dosunmu,SG,Primary Ball Handler,Point of Attack,89.6
68,Darrion Williams,SF,1,Paul George,PF,Shot Creator,Helper,88.2
68,Darrion Williams,SF,2,VJ Edgecombe,SG,Primary Ball Handler,Point of Attack,88.2
68,Darrion Williams,SF,3,Kenrich Williams,PF,Stationary Shooter,Helper,86.9
68,Darrion Williams,SF,4,Tobias Harris,PF,Versatile Big,Wing Stopper,86.8
68,Darrion Williams,SF,5,Mikal Bridges,SF,Movement Shooter,Point of Attack,86.2
69,Tomislav Ivisic,C,1,Jalen Smith,C,Stretch Big,Mobile Big,88.6
69,Tomislav Ivisic,C,2,Jock Landale,C,Versatile Big,Mobile Big,86.5
69,Tomislav Ivisic,C,3,Branden Carlson,C,Stretch Big,Mobile Big,86.3
69,Tomislav Ivisic,C,4,Nikola Vučević,C,Versatile Big,Mobile Big,85.9
69,Tomislav Ivisic,C,5,Thomas Bryant,C,Stretch Big,Mobile Big,83.8
71,Dillon Mitchell,SF,1,Oso Ighodaro,PF,Roll + Cut Big,Mobile Big,81.9
71,Dillon Mitchell,SF,2,Ausar Thompson,SF,Roll + Cut Big,Point of Attack,80.9
71,Dillon Mitchell,SF,3,Collin Murray-Boyles,PF,Roll + Cut Big,Mobile Big,79.9
