Rank,Name,School,Pos,Grade,Offensive Archetype,Defensive Role,Notes,sr_url,sr_found,year_id,team_name_abbr,conf_abbr,class,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,tov_pct
64,Miles Byrd,San Diego State,SG,Junior,Movement Shooter,Chaser,,https://www.sports-reference.com/cbb/players/miles-byrd-1.html,1,2025-26,San Diego St.,MWC,JR,G,33,33,28.0,3.5,8.6,.405,1.3,4.3,.308,2.2,4.3,.504,.482,2.1,2.7,.795,4.7,2.6,1.9,1.2,1.9,1.9,10.4,.528,.504,.310,16.4
65,Zvonimir Ivisic,Illinois,C,Junior,Stretch Big,Mobile Big,,https://www.sports-reference.com/cbb/players/zvonimir-ivisic-1.html,1,2025-26,Illinois,Big Ten,JR,F,36,4,17.5,2.4,4.7,.512,0.8,2.8,.283,1.6,2.0,.831,.594,1.0,1.4,.692,4.6,0.3,0.2,2.0,0.5,1.3,6.6,.611,.582,.306,8.5
66,Milos Uzan,Houston,PG,Senior,Primary Ball Handler,Point of Attack,,https://www.sports-reference.com/cbb/players/milos-uzan-1.html,1,2025-26,Houston,Big 12,SR,G,37,37,32.9,4.0,10.5,.380,1.9,5.7,.343,2.1,4.8,.425,.473,1.2,1.6,.741,2.7,4.0,1.0,0.1,1.3,1.4,11.1,.493,.540,.149,10.3
67,Jeremy Fears Jr.,Michigan State,PG,Sophomore,Secondary Ball Handler,Point of Attack,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Darrion Williams,NC State,SF,Senior,Versatile Big,Wing Stopper,,https://www.sports-reference.com/cbb/players/darrion-williams-1.html,1,2025-26,NC State,ACC,SR,F,33,33,30.0,5.0,12.2,.414,2.4,5.8,.404,2.7,6.3,.423,.511,1.5,2.0,.773,4.6,2.8,1.1,0.3,1.5,2.5,14.0,.533,.481,.165,10.4
69,Tomislav Ivisic,Illinois,C,Junior,Post Scorer,Mobile Big,,https://www.sports-reference.com/cbb/players/tomislav-ivisic-1.html,1,2025-26,Illinois,Big Ten,SO,C,33,32,25.1,3.8,7.9,.488,1.5,4.6,.314,2.4,3.2,.738,.581,1.1,1.5,.750,5.6,1.6,0.3,0.6,1.3,1.9,10.2,.598,.588,.185,13.5
70,Mouhamed Faye,Reggio Emilia,C,International,Athletic Finisher,Anchor Big,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Dillon Mitchell,St. John's,SF,Senior,Athletic Finisher,Wing Stopper,,https://www.sports-reference.com/cbb/players/dillon-mitchell-1.html,1,2025-26,St. John's (NY),Big East,SR,F,37,25,28.1,3.6,6.4,.559,0.0,0.4,.067,3.5,6.0,.593,.561,1.2,2.4,.494,7.0,3.0,1.3,0.7,1.0,1.8,8.3,.555,.064,.369,11.8
72,Andrej Stojakovic,Illinois,SG,Junior,Movement Shooter,Chaser,,https://www.sports-reference.com/cbb/players/andrej-stojakovic-2.html,1,2025-26,Illinois,Big Ten,JR,G,33,21,26.3,5.0,9.9,.503,0.6,2.5,.244,4.4,7.4,.590,.534,3.1,3.8,.823,4.4,1.0,0.4,0.5,1.3,1.4,13.6,.585,.252,.380,10.3
73,Tahaad Pettiford,Auburn,PG,Sophomore,Primary Ball Handler,Point of Attack,,https://www.sports-reference.com/cbb/players/tahaad-pettiford-1.html,1,2025-26,Auburn,SEC,SO,G,36,34,32.0,5.1,13.1,.394,1.9,6.6,.284,3.3,6.5,.504,.465,3.1,3.8,.830,3.0,3.7,1.1,0.6,2.3,2.4,15.3,.514,.502,.287,13.2
74,Kylan Boswell,Illinois,PG,Senior,Secondary Ball Handler,Helper,,https://www.sports-reference.com/cbb/players/kylan-boswell-1.html,1,2025-26,Illinois,Big Ten,SR,G,29,29,30.2,4.2,9.3,.450,1.2,3.9,.310,3.0,5.4,.551,.515,2.9,3.8,.773,3.9,3.1,0.8,0.0,1.1,2.1,12.5,.563,.420,.409,9.3
75,Coen Carr,Michigan State,SF/PF,Junior,Athletic Finisher,Mobile Big,,https://www.sports-reference.com/cbb/players/coen-carr-2.html,1,2025-26,Michigan St.,Big Ten,JR,F,35,35,29.3,4.4,8.5,.518,0.6,2.2,.276,3.8,6.4,.601,.554,2.6,4.1,.629,5.4,1.2,0.5,0.8,1.4,1.5,12.0,.574,.254,.478,11.6
76,Tucker DeVries,Indiana,SG/SF,Senior,Movement Shooter,Chaser,,https://www.sports-reference.com/cbb/players/tucker-devries-1.html,1,2025-26,Indiana,Big Ten,SR,G,32,32,34.2,4.5,11.3,.397,2.6,7.7,.333,1.9,3.7,.530,.510,2.1,2.4,.859,5.3,3.3,1.1,0.6,1.5,2.5,13.7,.546,.678,.215,10.5
77,KJ Lewis,Georgetown,SG,Junior,Shot Creator,Chaser,,https://www.sports-reference.com/cbb/players/kj-lewis-2.html,1,2025-26,Georgetown,Big East,JR,G,28,27,30.0,4.9,11.9,.408,1.1,3.8,.305,3.7,8.1,.456,.456,4.0,5.3,.752,5.1,2.5,2.1,0.6,2.2,2.6,14.9,.515,.315,.447,13.3
78,Malik Reneau,Miami,PF,Senior,Post Scorer,Mobile Big,,https://www.sports-reference.com/cbb/players/malik-reneau-1.html,1,2025-26,Miami (FL),ACC,SR,F,35,35,29.0,6.7,12.5,.540,0.7,2.1,.347,6.0,10.3,.580,.570,4.7,5.9,.788,6.5,2.1,1.1,0.8,2.8,2.5,18.9,.618,.172,.476,15.6
79,Mark Mitchell,Missouri,SF/PF,Senior,Versatile Big,Wing Stopper,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Solo Ball,UConn,SG,Junior,Movement Shooter,Chaser,,https://www.sports-reference.com/cbb/players/solomon-ball-2.html,1,2025-26,UConn,Big East,JR,G,37,37,28.7,4.2,10.7,.390,1.9,6.6,.292,2.2,4.1,.546,.480,2.6,3.1,.852,3.2,1.5,0.5,0.2,1.2,1.8,12.9,.530,.615,.291,9.1
81,Michael Ruzic,Joventut,PF,International,Stretch Big,Helper,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
