Player,Offensive Archetype,Defensive Role
Justin Champagnie,Movement Shooter,Helper
Justin Edwards,Movement Shooter,Chaser
Jusuf Nurkić,Roll + Cut Big,Mobile Big
Kam Jones,Secondary Ball Handler,Point of Attack
Karl-Anthony Towns,Shot Creator,Mobile Big
Karlo Matković,Stretch Big,Helper
Kasparas Jakučionis,Stationary Shooter,Chaser
Kawhi Leonard,Shot Creator,Wing Stopper
Keaton Wallace,Secondary Ball Handler,Point of Attack
Keegan Murray,Movement Shooter,Wing Stopper
Keldon Johnson,Movement Shooter,Helper
Kel'el Ware,Stretch Big,Mobile Big
Kelly Olynyk,Stretch Big,Helper
Kelly Oubre Jr.,Shot Creator,Wing Stopper
Kenrich Williams,Stationary Shooter,Helper
Kentavious Caldwell-Pope,Secondary Ball Handler,Chaser
Keon Ellis,Movement Shooter,Point of Attack
Keshad Johnson,Shot Creator,Helper
Kevin Durant,Shot Creator,Helper
Kevin Huerter,Movement Shooter,Chaser
Kevin Love,Movement Shooter,Mobile Big
Kevin McCullar Jr.,Movement Shooter,Chaser
Kevin Porter Jr.,Shot Creator,Chaser
Kevon Looney,Athletic Finisher,Mobile Big
Keyonte George,Primary Ball Handler,Chaser
Khaman Maluach,Roll + Cut Big,Helper
Khris Middleton,Shot Creator,Helper
Killian Hayes,Low Minute,Point of Attack
KJ Simpson,Primary Ball Handler,Point of Attack
Klay Thompson,Off Screen Shooter,Helper
Kobe Brown,Stationary Shooter,Low Activity
Kobe Bufkin,Low Minute,Point of Attack
Kobe Sanders,Movement Shooter,Point of Attack
Koby Brea,Low Minute,Helper
Kon Knueppel,Movement Shooter,Chaser
Kris Dunn,Primary Ball Handler,Point of Attack
Kris Murray,Stationary Shooter,Helper
Kristaps Porziņģis,Versatile Big,Mobile Big
Kyle Anderson,Shot Creator,Mobile Big
Kyle Filipowski,Stationary Shooter,Mobile Big
Kyle Kuzma,Movement Shooter,Wing Stopper
Kyle Lowry,Low Minute,Low Activity
Kyshawn George,Primary Ball Handler,Wing Stopper
Lachlan Olbrich,Athletic Finisher,Mobile Big
