Rk,Player,Age,Team,Pos,G,GS,MP,TS%,USG%,OWS,DWS,WS,WS48,OBPM,DBPM,BPM,VORP,WIN %,VALUE,AAV,ACE
217,Day'Ron Sharpe,24,BRK,C,62,7,1160,0.638,19.8,2,1.5,3.5,0.145,0.5,0.9,1.4,1,0.236111111,0.362912418,27.01357466,27013574.66
48,Julian Champagnie,24,SAS,SF,72,58,1998,0.612,15.1,2.4,2.9,5.3,0.128,0.4,0.8,1.2,1.6,0.75,0.36098361,26.88048975,26880489.75
299,Jalen Williams,24,OKC,SG,27,27,776,0.557,26.6,1,1.5,2.4,0.15,1,1,2,0.8,0.791666667,0.354772462,26.74740484,26747404.84
22,Donte DiVincenzo,29,MIN,SG,72,72,2221,0.573,16.6,2.4,2.6,5,0.109,0.1,0.8,0.9,1.7,0.611111111,0.35253871,26.61431994,26614319.94
174,Collin Sexton,27,2TM,SG,57,16,1302,0.618,25.8,2.1,1.1,3.3,0.121,1.1,-0.4,0.7,0.9,,0.344866529,26.48123503,26481235.03
174,Collin Sexton,27,CHO,SG,42,12,938,0.619,25.7,1.9,0.9,2.7,0.139,1.6,-0.4,1.2,0.7,0.527777778,0.337178376,26.34815012,26348150.12
346,Kristaps Porziņģis,30,ATL,C,17,12,413,0.592,26.4,1,0.5,1.5,0.176,2.7,0.9,3.6,0.6,0.555555556,0.335411487,26.21506521,26215065.21
269,T.J. McConnell,33,IND,PG,53,4,916,0.554,23.5,1.5,0.7,2.2,0.116,1.7,0.2,1.8,0.9,0.222222222,0.33413625,26.0819803,26081980.3
262,Bones Hyland,25,MIN,PG,63,3,977,0.611,20.3,1.8,1,2.8,0.137,1.3,0.3,1.6,0.9,0.611111111,0.332128562,25.9488954,25948895.4
171,Dylan Harper,19,SAS,SG,59,1,1317,0.563,22,1.6,1.8,3.4,0.123,0,1,1.1,1,0.75,0.332112725,25.81581049,25815810.49
18,Dyson Daniels,22,ATL,SG,68,68,2246,0.539,16,2.5,3.1,5.6,0.12,-0.8,1.6,0.8,1.6,0.555555556,0.319825775,25.68272558,25682725.58
207,Santi Aldama,25,MEM,PF,43,11,1198,0.572,20.1,1.4,1.1,2.5,0.101,1.3,0.5,1.7,1.1,0.338028169,0.31926575,25.54964067,25549640.67
265,Gary Payton II,33,GSW,SG,64,1,954,0.616,18.6,1.5,1.3,2.8,0.141,0.6,1.4,1.9,0.9,0.472222222,0.315144272,25.41655576,25416555.76
132,Tobias Harris,33,DET,PF,54,54,1521,0.561,18.7,1.9,2.3,4.2,0.134,0.1,0.6,0.8,1.1,0.732394366,0.310109183,25.28347085,25283470.85
99,Ayo Dosunmu,26,CHI,SG,45,10,1187,0.636,21,2.4,0.6,3.1,0.123,1.7,-0.9,0.8,0.8,0.408450704,0.298040401,25.15038595,25150385.95
159,Anfernee Simons,26,BOS,SG,49,0,1202,0.579,23.6,1.9,1.1,3,0.118,1.5,-1.1,0.5,0.8,0.661971831,0.27593786,25.01730104,25017301.04
13,Brandon Ingram,28,TOR,SF,68,68,2314,0.568,27.1,1,2.6,3.6,0.075,0.8,-0.6,0.1,1.3,0.563380282,0.268751478,24.88421613,24884216.13
224,Dru Smith,28,MIA,SG,67,1,1122,0.534,15.1,1.1,1.9,3.1,0.132,-1.4,3.7,2.3,1.2,0.527777778,0.264048059,24.75113122,24751131.22
338,Anthony Davis,32,DAL,PF,20,20,626,0.551,27.5,0.4,1,1.4,0.107,1.5,0.9,2.4,0.7,0.319444444,0.263174516,24.61804631,24618046.31
313,Josh Minott,23,2TM,SF,44,11,724,0.66,15.7,1.2,1.1,2.2,0.149,1.2,1.3,2.5,0.8,,0.255533176,24.48496141,24484961.41
113,Jerami Grant,31,POR,PF,55,36,1642,0.607,23.6,2.5,1.2,3.7,0.109,0.9,-1,-0.1,0.8,0.493150685,0.254573937,24.3518765,24351876.5
60,Duncan Robinson,31,DET,SF,69,69,1904,0.615,15.5,3.1,2.1,5.2,0.131,0.5,-0.1,0.4,1.2,0.732394366,0.249147894,24.21879159,24218791.59
261,Miles McBride,25,NYK,SG,35,14,981,0.592,17.7,1.7,1,2.7,0.131,1.2,0.1,1.4,0.8,0.657534247,0.244669582,24.08570668,24085706.68
272,Jakob Poeltl,30,TOR,C,35,33,897,0.7,14.5,2,1.3,3.3,0.179,0.2,1.3,1.5,0.8,0.563380282,0.241329116,23.95262177,23952621.77
144,Ivica Zubac,28,LAC,C,43,42,1328,0.635,19,2.6,1.4,4,0.145,0.9,-0.8,0.1,0.7,0.5,0.240764726,23.81953686,23819536.86
151,Jordan Goodwin,27,PHO,PG,63,7,1417,0.515,17.8,1.1,2.1,3.2,0.108,0,1.3,1.2,1.1,0.547945205,0.231945993,23.68645196,23686451.96
