Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
61,DeMar DeRozan,36,SAC,PF,66,66,31.7,6.4,13.1,.492,0.6,2.0,.323,5.8,11.1,.523,.517,4.9,5.6,.865,0.4,2.6,3.0,3.9,1.1,0.3,1.2,2.0,18.4,,derozde01
62,Trae Young,27,2TM,PG,13,13,26.0,5.3,12.1,.439,1.8,5.6,.329,3.5,6.5,.536,.516,5.8,6.9,.833,0.2,1.7,1.8,8.4,0.9,0.1,2.7,2.1,18.2,,youngtr01
62,Trae Young,27,ATL,PG,10,10,28.0,5.6,13.5,.415,1.8,5.9,.305,3.8,7.6,.500,.481,6.3,7.3,.863,0.0,1.5,1.5,8.9,1.0,0.1,2.6,2.0,19.3,,youngtr01
62,Trae Young,27,WAS,PG,3,3,19.3,4.3,7.3,.591,2.0,4.7,.429,2.3,2.7,.875,.727,4.0,5.7,.706,0.7,2.3,3.0,6.7,0.7,0.0,3.0,2.3,14.7,,youngtr01
63,Josh Giddey,23,CHI,PG,45,42,31.9,6.3,13.7,.459,2.0,5.2,.386,4.3,8.5,.503,.532,3.4,4.5,.760,1.3,7.2,8.4,8.8,1.0,0.4,3.6,1.6,18.0,,giddejo01
64,Darius Garland,26,2TM,PG,31,29,29.6,6.5,14.4,.454,2.5,6.5,.378,4.1,7.9,.516,.539,2.5,2.9,.844,0.5,2.0,2.4,6.7,0.8,0.1,2.8,1.8,17.9,,garlada01
64,Darius Garland,26,CLE,PG,26,26,30.5,6.5,14.5,.451,2.3,6.3,.360,4.3,8.2,.521,.529,2.6,3.0,.861,0.5,2.0,2.4,6.9,0.8,0.1,2.8,1.8,18.0,,garlada01
64,Darius Garland,26,LAC,PG,5,3,25.4,6.4,13.6,.471,3.4,7.4,.459,3.0,6.2,.484,.596,1.6,2.2,.727,0.4,2.0,2.4,5.8,1.0,0.0,3.0,1.6,17.8,,garlada01
65,Evan Mobley,24,CLE,PF,52,50,32.3,7.0,13.3,.526,1.2,3.7,.313,5.8,9.6,.608,.570,2.8,4.6,.618,2.3,6.4,8.7,3.6,0.8,1.8,1.9,2.5,17.9,,mobleev01
66,Amen Thompson,23,HOU,PG,64,64,37.0,6.8,13.2,.519,0.4,1.6,.223,6.5,11.5,.560,.533,3.8,4.9,.768,2.9,4.8,7.7,5.3,1.5,0.6,2.5,2.2,17.8,,thompam01
67,Miles Bridges,27,CHO,PF,62,62,31.8,6.3,14.1,.445,2.0,6.2,.326,4.2,7.9,.538,.517,2.9,3.5,.834,1.0,4.9,5.9,3.4,0.6,0.5,1.5,1.7,17.5,,bridgmi02
68,Derrick White,31,BOS,SG,63,63,34.3,6.0,15.3,.394,2.9,8.7,.327,3.2,6.5,.485,.488,2.6,2.9,.900,1.1,3.3,4.4,5.7,1.2,1.4,1.7,1.5,17.5,,whitede01
