Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
485,David Jones García,24,SAS,SF,11,0,68,21.0,.579,.200,.240,6.5,13.9,10.3,37.8,4.2,1.3,15.3,20.3,0.1,0.1,0.3,.203,2.6,3.7,6.3,0.1,,jonesda06
486,Isaiah Crawford,24,HOU,SF,11,0,67,9.3,.508,.615,.308,3.3,13.0,8.3,7.5,1.5,4.1,11.9,10.5,0.0,0.1,0.1,.079,-2.2,1.0,-1.1,0.0,,crawfis01
487,Kadary Richmond,24,WAS,SG,3,0,67,20.1,.722,.250,.188,1.6,14.5,7.9,16.7,5.7,1.3,10.4,12.0,0.2,0.1,0.3,.179,-0.9,4.1,3.2,0.1,,richmka01
488,Antonio Reeves,25,CHO,SG,9,0,66,12.3,.675,.650,.000,3.5,10.1,6.8,4.4,0.7,0.0,4.8,13.4,0.1,0.0,0.2,.119,1.0,-0.2,0.9,0.0,,reevean01
489,Monte Morris,30,IND,PG,6,0,65,7.0,.414,.400,.200,1.6,10.4,5.8,19.1,0.7,1.3,8.4,15.5,-0.1,0.0,0.0,-0.024,-4.5,-1.5,-6.0,-0.1,,morrimo01
490,Drew Peterson,26,CHO,PF,6,0,64,0.6,.148,.750,.125,5.4,10.4,7.9,3.8,2.3,1.4,0.0,11.1,-0.2,0.1,-0.1,-0.082,-8.3,-1.6,-10.0,-0.1,,peterdr01
491,Trey Jemison,26,NYK,C,11,0,61,6.3,.605,.000,.143,14.4,14.6,14.5,6.0,0.8,3.3,44.6,9.4,0.0,0.1,0.0,.031,-7.2,-0.2,-7.4,-0.1,,jemistr01
492,James Wiseman,24,IND,C,4,1,58,4.1,.597,.000,.200,9.0,5.8,7.5,7.1,0.0,1.5,31.5,11.6,0.0,0.0,0.0,-0.025,-8.0,-1.0,-9.0,-0.1,,wisemja01
493,Patrick Baldwin Jr.,23,3TM,SF,7,0,58,10.5,.510,.563,.375,11.2,13.8,12.5,4.4,1.7,4.7,13.9,16.0,0.0,0.0,0.0,.013,-4.4,-1.3,-5.7,-0.1,,baldwpa01
493,Patrick Baldwin Jr.,23,LAC,SF,2,0,12,23.7,1.025,.750,.500,0.0,9.4,4.9,0.0,0.0,0.0,17.0,21.7,0.1,0.0,0.1,.213,5.2,-0.4,4.8,0.0,,baldwpa01
493,Patrick Baldwin Jr.,23,PHI,SF,1,0,2,6.3,,,,0.0,56.4,27.6,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.081,-5.1,-3.0,-8.1,0.0,,baldwpa01
493,Patrick Baldwin Jr.,23,SAC,SF,4,0,44,7.1,.327,.500,.333,14.7,13.0,13.9,5.8,2.2,6.2,12.7,15.2,-0.1,0.0,0.0,-0.045,-6.9,-1.5,-8.4,-0.1,,baldwpa01
494,Tyler Burton,25,MEM,SF,2,0,56,-5.5,.185,.667,.111,3.8,7.8,5.8,2.1,0.8,1.6,13.7,16.2,-0.3,0.0,-0.3,-0.228,-11.9,-5.3,-17.2,-0.2,,burtoty01
495,Johni Broome,23,PHI,C,11,0,55,0.4,.188,.208,.250,13.8,18.5,16.1,9.3,2.6,3.4,10.1,22.8,-0.3,0.1,-0.2,-0.215,-11.8,-4.5,-16.3,-0.2,,broomjo01
496,Cody Martin,30,IND,SF,4,0,55,3.0,.277,.500,.600,1.9,26.5,13.8,4.6,3.5,3.1,24.0,12.8,-0.2,0.1,-0.1,-0.100,-10.1,2.1,-7.9,-0.1,,martico01
497,Caleb Houstan,23,ATL,SF,12,0,54,10.2,.705,.800,.200,7.9,4.0,6.0,4.8,0.9,1.7,19.7,15.7,0.1,0.0,0.1,.073,-2.1,-2.3,-4.4,0.0,,houstca01
498,Wendell Moore Jr.,24,DET,SG,5,0,54,10.0,.635,.143,.286,2.1,10.2,6.2,6.8,1.8,3.7,11.3,6.8,0.1,0.1,0.1,.118,-2.5,1.8,-0.6,0.0,,moorewe01
499,Andersson Garcia,25,UTA,,2,0,54,7.5,.470,.273,.364,13.9,10.3,12.1,4.7,2.6,1.8,23.9,12.8,0.0,0.0,0.0,-0.008,-7.3,-1.7,-9.0,-0.1,,garcian01
500,Nikola Topić,20,OKC,PG,5,0,53,1.9,.500,.313,.000,4.3,11.8,8.2,25.1,0.0,0.0,40.7,22.1,-0.2,0.1,-0.2,-0.136,-8.2,-3.1,-11.3,-0.1,,topicni01
501,Haywood Highsmith,29,PHO,SF,4,0,53,13.0,.643,.600,.200,4.1,10.8,7.3,12.5,2.8,0.0,0.0,8.7,0.1,0.1,0.2,.172,-0.7,2.3,1.6,0.0,,highsha01
502,TyTy Washington Jr.,24,LAC,PG,8,0,52,18.0,.679,.500,.000,2.3,2.2,2.2,31.2,3.8,3.6,17.6,14.5,0.1,0.1,0.2,.170,3.0,2.9,5.9,0.1,,washity02
503,Seth Curry,35,GSW,SG,4,0,51,21.9,.737,.412,.176,6.3,6.5,6.4,20.9,1.9,0.0,0.0,15.2,0.2,0.0,0.3,.266,4.9,1.4,6.3,0.1,,curryse01
504,Lawson Lovering,22,MEM,C,2,1,49,13.7,.574,.000,.500,13.1,20.0,16.5,8.2,2.9,1.9,14.1,12.0,0.1,0.1,0.1,.116,-3.6,-0.1,-3.7,0.0,,loverla01
505,Keshon Gilbert,22,WAS,PG,3,0,48,4.5,.521,.500,1.000,4.4,6.7,5.5,7.4,2.0,7.4,51.0,10.2,-0.1,0.0,-0.1,-0.086,-6.3,-0.4,-6.8,-0.1,,gilbeke01
506,Jahmir Young,25,MIA,PG,10,0,47,5.9,.416,.350,.050,4.3,4.4,4.4,16.9,1.0,0.0,8.9,19.3,-0.1,0.0,0.0,-0.018,-6.9,-1.7,-8.6,-0.1,,youngja05
507,Chaney Johnson,23,BRK,SF,3,0,47,8.6,.750,.375,.000,2.4,10.4,6.2,12.6,2.1,2.0,27.3,10.2,0.0,0.0,0.1,.053,-3.5,0.3,-3.2,0.0,,johnsch06
508,Mac McClung,27,2TM,SG,4,0,47,8.5,.430,.480,.160,0.0,11.8,5.7,6.4,5.1,3.7,10.1,26.7,-0.2,0.1,-0.1,-0.085,-8.3,2.9,-5.4,0.0,,mccluma01
508,Mac McClung,27,IND,SG,3,0,34,12.9,.481,.556,.222,0.0,13.2,6.4,4.7,7.0,2.5,9.2,27.1,-0.1,0.1,0.0,-0.009,-5.6,6.1,0.5,0.0,,mccluma01
508,Mac McClung,27,CHI,SG,1,0,13,-3.2,.286,.286,.000,0.0,8.1,4.1,10.7,0.0,6.7,12.5,25.9,-0.1,0.0,-0.1,-0.281,-15.3,-5.4,-20.6,-0.1,,mccluma01
509,Garrett Temple,39,TOR,SG,16,0,46,3.7,.329,.750,.750,2.4,9.9,6.1,10.2,3.2,2.1,22.0,12.7,-0.1,0.1,0.0,-0.042,-7.6,1.2,-6.4,-0.1,,templga01
510,Mo Bamba,27,2TM,C,4,0,44,13.1,.455,.000,.000,24.4,30.3,27.3,3.1,0.0,6.7,15.4,12.3,0.0,0.0,0.1,.058,-4.6,-3.8,-8.4,-0.1,,bambamo01
510,Mo Bamba,27,TOR,C,2,0,6,-2.8,.000,.000,.000,18.4,19.0,18.7,0.0,0.0,16.2,0.0,14.3,0.0,0.0,0.0,-0.161,-18.9,-2.7,-21.6,0.0,,bambamo01
510,Mo Bamba,27,UTA,C,2,0,38,15.6,.556,.000,.000,25.4,32.0,28.7,3.6,0.0,5.2,18.2,12.0,0.0,0.0,0.1,.092,-2.3,-4.0,-6.3,0.0,,bambamo01
511,Isaiah Stevens,25,SAC,PG,3,0,43,16.5,.571,.143,.571,5.0,2.7,3.9,29.5,5.6,0.0,18.6,10.6,0.1,0.0,0.1,.132,-1.3,3.2,1.9,0.0,,steveis01
512,Jalen Slawson,26,IND,SF,2,0,43,10.7,.392,.636,.364,9.7,18.3,13.8,24.4,2.2,2.0,19.0,15.5,0.0,0.0,0.0,.014,-2.6,0.1,-2.5,0.0,,slawsja01
513,Trey Alexander,22,NOP,SG,5,0,42,13.6,.778,.333,.000,0.0,10.4,5.1,16.4,1.1,2.3,10.0,9.9,0.1,0.0,0.1,.131,0.4,0.2,0.6,0.0,,alexatr01
