,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
322,Josh Minott,23,BOS,PF,33,10,526,.507,16.1,.434,.228,.169,.029,.007,.566,.593,.806,.391,.250,.000,.442,.686,.941,.147,16,.312,.375,0,0,,minotjo01
322,Josh Minott,23,BRK,SF,7,0,100,.484,18.1,.323,.194,.129,.000,.000,.677,.800,1.000,.500,,,.333,.500,1.000,.097,3,.190,.500,0,0,,minotjo01
323,Jaden Hardy,23,2TM,SG,44,4,625,.406,17.5,.406,.112,.165,.099,.030,.594,.463,.529,.500,.433,.111,.367,.421,.788,.013,1,.322,.379,0,0,,hardyja02
323,Jaden Hardy,23,DAL,SG,34,4,428,.402,18.6,.361,.082,.155,.098,.026,.639,.457,.500,.500,.474,.000,.371,.500,.783,.015,1,.315,.308,0,0,,hardyja02
323,Jaden Hardy,23,WAS,SG,10,0,197,.413,16.5,.486,.165,.183,.101,.037,.514,.472,.556,.500,.364,.250,.357,.320,.800,.009,0,.339,.526,0,0,,hardyja02
324,Tre Mann,24,CHO,PG,43,1,624,.358,17.7,.480,.125,.176,.129,.050,.520,.396,.600,.327,.306,.357,.324,.283,.660,.011,2,.193,.357,0,0,,manntr01
325,Jalen Wilson,25,BRK,PF,44,0,618,.382,17.9,.361,.152,.188,.016,.005,.639,.391,.483,.306,.667,.000,.377,.667,.978,.000,0,.254,.452,0,0,,wilsoja03
326,Dylan Cardwell,24,SAC,C,29,1,616,.598,4.4,.991,.438,.500,.054,.009,.009,.604,.816,.446,.333,.000,.000,.776,,.366,35,1.000,.000,0,0,,cardwdy01
327,Jamir Watkins,24,WAS,SG,33,4,615,.448,15.6,.460,.252,.178,.018,.012,.540,.640,.854,.345,.667,.500,.284,.604,1.000,.129,20,.432,.368,0,0,,watkija01
328,Tyler Herro,26,MIA,SG,20,15,612,.500,15.4,.608,.105,.262,.194,.046,.392,.563,.676,.565,.540,.400,.402,.532,.745,.003,1,.118,.400,0,0,,herroty01
329,Quenton Jackson,27,IND,PG,35,10,609,.461,13.6,.604,.276,.230,.051,.046,.396,.519,.767,.360,.182,.200,.372,.574,.969,.074,15,.209,.222,0,0,,jacksqu01
330,Javon Small,23,MEM,PG,32,5,607,.445,16.0,.526,.163,.230,.077,.057,.474,.464,.794,.313,.313,.333,.424,.451,.595,.038,7,.101,.600,0,0,,smallja01
331,Nick Richards,28,2TM,C,43,3,607,.515,5.6,.924,.450,.380,.070,.023,.076,.538,.727,.338,.500,.250,.231,.729,1.000,.240,37,.692,.333,0,0,,richani01
331,Nick Richards,28,PHO,C,28,2,254,.493,5.2,1.000,.380,.437,.141,.042,.000,.493,.704,.323,.500,.333,,.743,,.225,15,,,0,0,,richani01
331,Nick Richards,28,CHI,C,15,1,353,.530,5.9,.870,.500,.340,.020,.010,.130,.575,.740,.353,.500,.000,.231,.720,1.000,.250,22,.692,.333,0,0,,richani01
332,Kevin Love,37,UTA,PF,36,5,598,.404,19.5,.290,.150,.088,.036,.016,.710,.464,.379,.529,.571,.667,.380,.654,1.000,.000,0,.175,.458,0,0,,loveke01
333,Gary Harris,31,MIL,SG,42,2,582,.446,18.2,.349,.096,.157,.084,.012,.651,.517,.875,.308,.571,.000,.407,.600,1.000,.012,1,.593,.500,0,0,,harriga01
334,Jonathan Kuminga,23,2TM,PF,24,14,575,.476,10.2,.729,.284,.297,.122,.026,.271,.521,.677,.485,.321,.167,.355,.517,.955,.135,27,.371,.435,0,0,,kuminjo01
334,Jonathan Kuminga,23,GSW,PF,20,13,476,.454,11.1,.727,.247,.330,.119,.031,.273,.504,.625,.500,.348,.167,.321,.465,.941,.129,21,.340,.389,0,0,,kuminjo01
334,Jonathan Kuminga,23,ATL,PF,4,1,99,.600,9.2,.743,.486,.114,.143,.000,.257,.615,.824,.250,.200,,.556,.750,1.000,.171,6,.556,.600,0,0,,kuminjo01
335,Tidjane Salaün,20,CHO,PF,36,0,571,.506,15.1,.475,.272,.203,.000,.000,.525,.587,.744,.375,,,.434,.750,.972,.070,9,.337,.500,0,0,,salauti01
336,Ja Morant,26,MEM,PG,20,20,569,.410,12.5,.736,.227,.258,.177,.075,.264,.473,.658,.410,.404,.292,.235,.241,.700,.031,9,.141,.500,0,0,,moranja01
337,Zeke Nnaji,25,DEN,PF,46,3,566,.474,11.3,.650,.438,.146,.022,.044,.350,.584,.717,.350,.000,.333,.271,.788,1.000,.175,22,.313,.267,0,0,,nnajize01
338,Kyle Anderson,32,3TM,SF,29,3,566,.562,7.3,.956,.212,.635,.095,.015,.044,.557,.690,.529,.385,1.000,.667,.479,1.000,.044,5,.667,.750,0,0,,anderky01
338,Kyle Anderson,32,UTA,SF,20,0,401,.523,6.5,.954,.239,.633,.073,.009,.046,.519,.654,.478,.375,1.000,.600,.556,1.000,.055,5,.600,.667,0,0,,anderky01
338,Kyle Anderson,32,MEM,SF,4,3,89,.789,9.1,.947,.105,.579,.211,.053,.053,.778,1.000,.818,.500,1.000,1.000,.286,1.000,.000,0,1.000,1.000,0,0,,anderky01
338,Kyle Anderson,32,MIN,SF,5,0,76,.556,6.1,1.000,.111,.778,.111,.000,.000,.556,1.000,.571,.000,,,.200,,.000,0,,,0,0,,anderky01
339,Domantas Sabonis,29,SAC,C,19,15,564,.543,6.6,.878,.421,.376,.077,.005,.122,.593,.699,.458,.706,.000,.185,.678,1.000,.104,23,.222,.167,0,0,,sabondo01
340,Aaron Holiday,29,HOU,PG,43,1,558,.396,19.5,.365,.066,.157,.102,.041,.635,.458,.462,.710,.200,.125,.360,.242,.911,.000,0,.280,.457,0,0,,holidaa01
341,Carter Bryant,20,SAS,PF,55,0,553,.383,16.2,.404,.259,.088,.052,.005,.596,.449,.500,.412,.300,.000,.339,.657,.974,.088,12,.496,.298,0,0,,bryanca01
342,Thomas Bryant,28,CLE,C,49,0,552,.483,14.7,.483,.312,.137,.029,.005,.517,.636,.672,.643,.333,.000,.340,.778,1.000,.137,24,.198,.286,0,0,,bryanth01
343,Drew Eubanks,28,SAC,C,42,11,552,.596,6.4,.955,.314,.494,.135,.013,.045,.617,.837,.519,.524,.000,.143,.826,1.000,.269,35,.714,.200,0,0,,eubandr01
344,Jett Howard,22,ORL,SF,44,0,544,.406,17.2,.411,.157,.198,.025,.030,.589,.481,.645,.359,.600,.333,.353,.615,.927,.036,5,.284,.424,0,0,,howarje01
345,Jevon Carter,30,2TM,PG,36,0,536,.378,21.1,.254,.098,.052,.057,.047,.746,.408,.421,.300,.455,.444,.368,.500,.830,.005,1,.278,.350,0,0,,carteje01
345,Jevon Carter,30,CHI,PG,23,0,254,.398,20.9,.243,.097,.068,.029,.049,.757,.360,.400,.286,.667,.200,.410,.444,.813,.000,0,.295,.391,0,0,,carteje01
345,Jevon Carter,30,ORL,PG,13,0,282,.356,21.3,.267,.100,.033,.089,.044,.733,.458,.444,.333,.375,.750,.318,.545,.857,.011,1,.258,.294,0,0,,carteje01
346,Ben Saraf,19,BRK,SG,30,6,532,.365,12.6,.615,.284,.270,.047,.014,.385,.451,.548,.400,.286,.000,.228,.415,.846,.061,7,.193,.182,0,0,,sarafbe01
347,Dorian Finney-Smith,32,HOU,PF,30,1,529,.318,19.8,.234,.187,.037,.009,.000,.766,.480,.500,.500,.000,,.268,.667,.955,.019,1,.402,.182,0,0,,finnedo01
348,Cole Anthony,25,MIL,PG,35,0,527,.424,14.0,.688,.143,.268,.199,.078,.312,.478,.606,.419,.478,.444,.306,.211,.727,.009,0,.236,.412,0,0,,anthoco01
349,Jonathan Isaac,28,ORL,PF,52,0,521,.422,11.0,.651,.404,.165,.046,.037,.349,.549,.636,.500,.200,.250,.184,.641,1.000,.248,22,.711,.222,0,0,,isaacjo01
350,Tristan Vukcevic,22,WAS,C,40,8,517,.469,15.3,.590,.192,.180,.155,.063,.410,.589,.761,.698,.378,.267,.296,.747,.828,.054,11,.051,.200,0,0,,vukcetr01
351,Jamaree Bouyea,26,PHO,PG,34,0,516,.475,14.2,.657,.171,.260,.094,.133,.343,.563,.968,.426,.529,.333,.306,.418,.632,.033,5,.242,.400,0,0,,bouyeja01
352,Jordan Hawkins,23,NOP,SG,42,0,515,.317,19.9,.433,.078,.056,.078,.222,.567,.346,.500,.100,.357,.350,.294,.741,.900,.033,1,.216,.455,0,0,,hawkijo01
353,Dalton Knecht,24,LAL,SF,48,1,509,.448,17.9,.420,.155,.115,.126,.023,.580,.644,.778,.550,.591,.500,.307,.681,.968,.075,11,.238,.292,0,0,,knechda01
354,Jase Richardson,20,ORL,SG,44,0,507,.460,14.4,.564,.172,.294,.074,.025,.436,.543,.714,.479,.417,.500,.352,.600,.960,.037,4,.310,.455,0,0,,richaja02
355,Kristaps Porziņģis,30,2TM,C,21,13,496,.450,15.7,.593,.174,.198,.112,.109,.407,.516,.644,.412,.517,.500,.352,.582,.973,.089,20,.152,.625,0,0,,porzikr01
355,Kristaps Porziņģis,30,ATL,C,17,12,413,.457,15.8,.590,.181,.171,.119,.119,.410,.524,.632,.472,.480,.480,.360,.615,1.000,.090,17,.174,.667,0,0,,porzikr01
355,Kristaps Porziņģis,30,GSW,C,4,1,83,.417,15.6,.604,.146,.313,.083,.063,.396,.483,.714,.267,.750,.667,.316,.429,.833,.083,3,.053,.000,0,0,,porzikr01
356,D'Angelo Russell,29,DAL,PG,26,3,495,.405,17.3,.517,.086,.194,.159,.078,.483,.508,.650,.511,.486,.389,.295,.295,.758,.000,0,.152,.118,0,0,,russeda01
357,Anthony Gill,33,WAS,PF,38,1,490,.591,9.1,.764,.418,.300,.045,.000,.236,.679,.804,.545,.400,,.308,.789,1.000,.055,4,.308,.625,0,0,,gillan01
358,Mohamed Diawara,20,NYK,SF,57,6,488,.433,18.1,.386,.181,.111,.047,.047,.614,.500,.548,.211,.750,.750,.390,.636,.976,.006,1,.238,.680,0,0,,diawamo01
359,Keaton Wallace,26,ATL,PG,45,2,473,.407,19.7,.407,.028,.138,.186,.055,.593,.424,.500,.450,.444,.250,.395,.360,.912,.007,1,.093,.500,0,0,,wallake01
360,Dalen Terry,23,2TM,SG,41,0,472,.434,13.1,.550,.349,.171,.016,.016,.450,.465,.578,.273,.500,.000,.397,.485,.957,.031,3,.483,.429,0,0,,terryda01
360,Dalen Terry,23,CHI,SG,34,0,377,.441,13.0,.549,.363,.157,.010,.020,.451,.464,.568,.313,.000,.000,.413,.538,1.000,.029,3,.522,.500,0,0,,terryda01
360,Dalen Terry,23,PHI,SG,7,0,95,.407,13.3,.556,.296,.222,.037,.000,.444,.467,.625,.167,1.000,,.333,.286,.750,.037,0,.333,.000,0,0,,terryda01
361,Jalen Green,23,PHO,SG,19,14,467,.408,16.9,.510,.174,.148,.063,.125,.490,.503,.604,.422,.579,.421,.309,.308,.609,.043,7,.201,.467,0,0,,greenja05
362,Grant Williams,27,CHO,PF,23,3,449,.431,20.3,.276,.065,.106,.081,.024,.724,.529,.750,.385,.500,.667,.393,.722,.971,.016,2,.371,.424,0,0,,willigr01
363,Trayce Jackson-Davis,25,2TM,C,44,1,449,.566,2.5,.991,.681,.310,.000,.000,.009,.563,.688,.286,,,1.000,.746,1.000,.336,33,.000,,1,1,,jackstr02
363,Trayce Jackson-Davis,25,GSW,C,36,1,411,.588,2.9,.990,.667,.324,.000,.000,.010,.584,.721,.303,,,1.000,.780,1.000,.343,31,.000,,1,1,,jackstr02
363,Trayce Jackson-Davis,25,TOR,C,8,0,38,.364,2.0,1.000,.818,.182,.000,.000,.000,.364,.444,.000,,,,.250,,.273,2,,,0,0,,jackstr02
364,Asa Newell,20,ATL,PF,40,1,445,.537,12.5,.537,.396,.141,.000,.000,.463,.663,.712,.524,,,.391,.698,1.000,.181,23,.623,.372,0,0,,newelas01
365,Tyrese Proctor,21,CLE,PG,42,1,436,.395,18.5,.395,.147,.130,.068,.051,.605,.486,.615,.304,.583,.444,.336,.412,.806,.017,3,.168,.333,0,0,,proctty01
366,Kam Jones,23,IND,SG,27,7,436,.422,15.0,.552,.112,.371,.043,.026,.448,.516,.692,.442,.600,.667,.308,.394,.750,.009,0,.250,.308,0,0,,joneska03
367,Ariel Hukporti,23,NYK,C,48,4,430,.550,4.8,.933,.617,.283,.033,.000,.067,.571,.784,.176,.000,,.250,.906,1.000,.283,16,.000,,0,0,,hukpoar01
368,Amir Coffey,28,2TM,SG,41,2,427,.484,15.4,.559,.183,.140,.140,.097,.441,.615,.941,.385,.462,.556,.317,.563,1.000,.022,2,.561,.304,0,0,,coffeam01
368,Amir Coffey,28,MIL,SG,30,2,265,.473,15.6,.545,.200,.127,.127,.091,.455,.633,1.000,.286,.571,.400,.280,.526,1.000,.018,1,.640,.250,0,0,,coffeam01
368,Amir Coffey,28,PHO,SG,11,0,162,.500,15.3,.579,.158,.158,.158,.105,.421,.591,.833,.500,.333,.750,.375,.615,1.000,.026,1,.438,.429,0,0,,coffeam01
369,Moussa Cisse,23,DAL,C,34,1,425,.590,1.8,1.000,.807,.193,.000,.000,.000,.590,.642,.375,,,,.714,,.398,29,,,0,0,,cissemo01
370,Yanic Konan Niederhäuser,22,LAC,C,41,0,424,.640,4.1,.950,.570,.350,.030,.000,.050,.663,.702,.629,.333,,.200,.714,1.000,.350,29,.200,.000,0,0,,konanya01
371,Daeqwon Plowden,27,SAC,SG,18,2,424,.392,17.3,.368,.176,.168,.024,.000,.632,.587,.864,.286,.667,,.278,.667,.909,.152,16,.291,.217,0,0,,plowdda01
372,Jahmai Mashack,23,MEM,SG,23,3,423,.392,12.9,.600,.267,.275,.050,.008,.400,.472,.656,.333,.333,.000,.271,.765,1.000,.000,0,.229,.091,0,0,,mashaja01
373,Jamison Battle,24,TOR,SF,49,2,418,.505,17.3,.404,.248,.083,.037,.037,.596,.636,.630,.778,.500,.500,.415,.893,1.000,.064,6,.338,.455,1,0,,battlja01
374,Ethan Thompson,26,IND,SG,24,6,417,.367,18.5,.375,.083,.150,.117,.025,.625,.467,.700,.556,.143,.667,.307,.667,1.000,.000,0,.427,.313,0,0,,thompet01
375,Tony Bradley,28,IND,C,38,3,416,.557,4.6,.981,.509,.377,.038,.057,.019,.558,.667,.425,.500,.500,.500,.690,1.000,.075,7,1.000,.500,0,0,,bradlto01
376,Jeremy Sochan,22,2TM,PF,38,0,411,.477,10.3,.658,.414,.207,.018,.018,.342,.603,.717,.478,.000,.000,.237,.773,1.000,.180,16,.500,.368,0,0,,sochaje01
376,Jeremy Sochan,22,SAS,PF,28,0,358,.475,10.9,.646,.394,.222,.020,.010,.354,.594,.692,.500,.000,.000,.257,.789,1.000,.172,13,.514,.389,0,0,,sochaje01
376,Jeremy Sochan,22,NYK,PF,10,0,53,.500,9.7,.750,.583,.083,.000,.083,.250,.667,.857,.000,,.000,.000,.667,,.250,3,.333,.000,0,0,,sochaje01
377,Cam Christie,20,LAC,SG,44,0,410,.381,12.9,.610,.263,.254,.093,.000,.390,.458,.645,.233,.545,,.261,.727,1.000,.076,6,.261,.417,0,0,,chrisca02
378,Rasheer Fleming,21,PHO,PF,41,0,410,.405,16.1,.405,.267,.092,.031,.015,.595,.472,.543,.500,.000,.000,.359,.840,1.000,.099,11,.474,.378,0,0,,flemira01
379,Bogdan Bogdanović,33,LAC,SG,18,3,389,.367,19.2,.391,.109,.125,.102,.055,.609,.440,.643,.188,.615,.286,.321,.227,.600,.000,0,.128,.600,0,0,,bogdabo01
380,Devin Carter,23,SAC,PG,27,2,386,.396,13.3,.622,.201,.341,.073,.006,.378,.520,.818,.464,.000,.000,.194,.358,.750,.091,13,.097,.167,0,0,,cartede02
381,Maxi Kleber,34,LAL,PF,35,1,383,.467,12.7,.633,.250,.267,.117,.000,.367,.579,.600,.688,.286,,.273,1.000,1.000,.150,9,.136,.000,0,0,,klebima01
382,Branden Carlson,26,OKC,C,35,2,376,.522,13.1,.545,.373,.149,.015,.007,.455,.671,.780,.500,.000,.000,.344,.796,1.000,.261,30,.213,.308,0,0,,carlsbr01
383,Julian Phillips,22,2TM,SF,42,2,364,.429,13.6,.459,.347,.092,.010,.010,.541,.556,.588,.333,1.000,1.000,.321,.640,1.000,.204,15,.623,.303,0,0,,phillju01
383,Julian Phillips,22,CHI,SF,35,2,334,.420,14.6,.443,.352,.068,.011,.011,.557,.538,.548,.333,1.000,1.000,.327,.714,1.000,.216,14,.612,.300,0,0,,phillju01
383,Julian Phillips,22,MIN,SF,7,0,30,.500,12.6,.600,.300,.300,.000,.000,.400,.667,1.000,.333,,,.250,.250,1.000,.100,1,.750,.333,0,0,,phillju01
384,Sharife Cooper,24,WAS,PG,24,0,361,.496,11.9,.693,.331,.205,.094,.063,.307,.557,.738,.385,.333,.500,.359,.347,.643,.000,0,.385,.267,0,0,,coopesh01
385,Jeremiah Robinson-Earl,25,2TM,PF,22,3,361,.370,12.6,.590,.350,.160,.050,.030,.410,.458,.514,.313,.600,.333,.244,.481,1.000,.040,4,.561,.174,0,0,,robinje02
385,Jeremiah Robinson-Earl,25,IND,PF,17,3,300,.349,12.3,.602,.349,.169,.060,.024,.398,.420,.448,.286,.600,.500,.242,.476,1.000,.024,2,.485,.188,0,0,,robinje02
385,Jeremiah Robinson-Earl,25,DAL,PF,5,0,61,.471,12.9,.529,.353,.118,.000,.059,.471,.667,.833,.500,,.000,.250,.500,1.000,.118,2,.875,.143,0,0,,robinje02
386,Pete Nance,25,MIL,PF,32,0,360,.558,16.7,.394,.240,.144,.010,.000,.606,.707,.880,.467,.000,,.460,.759,1.000,.077,7,.317,.550,0,0,,nancepe01
387,Cam Whitmore,21,WAS,SF,21,0,354,.456,12.1,.669,.361,.213,.047,.047,.331,.540,.770,.278,.375,.125,.286,.590,.625,.142,19,.054,.000,0,0,,whitmca01
388,Larry Nance Jr.,33,CLE,PF,29,2,353,.381,14.8,.464,.289,.134,.041,.000,.536,.422,.607,.077,.250,,.346,.684,1.000,.113,10,.500,.500,0,0,,nancela02
389,Scoot Henderson,21,POR,PG,15,3,350,.421,17.0,.476,.189,.165,.049,.073,.524,.526,.742,.259,.500,.583,.326,.439,.786,.030,5,.174,.200,0,0,,hendesc01
390,Myron Gardner,24,MIA,SF,35,7,342,.485,14.5,.485,.307,.139,.040,.000,.515,.551,.613,.500,.250,,.423,.519,.955,.040,3,.269,.286,0,0,,gardnmy01
391,Terrence Shannon Jr.,25,MIN,SG,29,0,342,.404,13.7,.545,.343,.131,.040,.030,.455,.426,.588,.154,.250,.000,.378,.565,.824,.051,4,.467,.286,0,0,,shannte01
392,Liam McNeeley,20,CHO,SF,28,0,342,.386,18.6,.341,.114,.193,.034,.000,.659,.400,.700,.294,.000,,.379,.667,.955,.000,0,.362,.381,0,0,,mcneeli01
393,Trae Young,27,2TM,PG,13,13,338,.439,18.3,.535,.159,.166,.146,.064,.465,.536,.680,.500,.522,.300,.329,.422,.500,.000,0,.096,.429,0,0,,youngtr01
393,Trae Young,27,ATL,PG,10,10,280,.415,16.6,.563,.156,.178,.156,.074,.437,.500,.619,.500,.476,.300,.305,.395,.556,.000,0,.119,.429,0,0,,youngtr01
393,Trae Young,27,WAS,PG,3,3,58,.591,20.0,.364,.182,.091,.091,.000,.636,.875,1.000,.500,1.000,,.429,.571,.333,.000,0,.000,,0,0,,youngtr01
394,Isaiah Livers,27,PHO,PF,33,0,332,.361,17.9,.361,.164,.148,.033,.016,.639,.455,.800,.111,.500,.000,.308,.500,1.000,.033,2,.436,.353,0,0,,liveris01
395,AJ Johnson,21,2TM,SG,38,0,331,.322,12.4,.653,.281,.347,.017,.008,.347,.380,.529,.286,.000,.000,.214,.400,.778,.083,7,.190,.250,0,0,,johnsaj01
395,AJ Johnson,21,WAS,SG,25,0,214,.325,11.0,.699,.301,.361,.024,.012,.301,.345,.480,.267,.000,.000,.280,.350,.857,.108,6,.160,.250,0,0,,johnsaj01
395,AJ Johnson,21,DAL,SG,13,0,117,.316,13.8,.553,.237,.316,.000,.000,.447,.476,.667,.333,,,.118,.500,.500,.026,1,.235,.250,0,0,,johnsaj01
396,Moritz Wagner,28,ORL,C,25,0,324,.439,11.4,.642,.250,.372,.020,.000,.358,.484,.595,.400,.667,,.358,.848,.947,.034,5,.264,.357,0,0,,wagnemo01
397,Kelly Olynyk,34,SAS,C,36,0,322,.494,14.4,.517,.299,.161,.034,.023,.483,.711,.885,.500,.000,1.000,.262,.406,1.000,.011,1,.214,.444,0,0,,olynyke01
398,Taelon Peter,23,IND,SG,29,0,322,.343,23.8,.108,.078,.020,.000,.010,.892,.636,.750,.500,,.000,.308,.857,.893,.029,3,.253,.174,0,0,,peterta01
399,Nick Smith Jr.,21,LAL,SG,25,1,318,.421,18.8,.481,.045,.173,.211,.053,.519,.453,.667,.522,.357,.429,.391,.241,.630,.008,1,.116,.125,0,0,,smithni01
400,Leonard Miller,22,2TM,SF,31,4,313,.552,10.8,.629,.400,.229,.000,.000,.371,.742,.881,.500,,,.231,.735,1.000,.133,14,.590,.304,0,0,,millele01
400,Leonard Miller,22,MIN,SF,19,0,95,.545,10.7,.636,.424,.212,.000,.000,.364,.810,.857,.714,,,.083,.706,1.000,.152,5,.750,.111,0,0,,millele01
400,Leonard Miller,22,CHI,SF,12,4,218,.556,11.0,.625,.389,.236,.000,.000,.375,.711,.893,.412,,,.296,.750,1.000,.125,9,.519,.429,0,0,,millele01
401,Christian Koloko,25,3TM,C,22,4,311,.426,6.7,.918,.443,.311,.131,.033,.082,.446,.630,.263,.375,.000,.200,.800,1.000,.295,14,.400,.000,0,0,,kolokch01
401,Christian Koloko,25,LAL,C,2,0,6,,,,,,,,,,,,,,,,,,0,,,0,0,,kolokch01
401,Christian Koloko,25,MEM,C,11,2,195,.400,4.9,.971,.486,.371,.086,.029,.029,.412,.588,.308,.000,.000,.000,.786,,.314,8,.000,,0,0,,kolokch01
401,Christian Koloko,25,ATL,C,9,2,110,.462,8.6,.846,.385,.231,.192,.038,.154,.500,.700,.167,.600,.000,.250,.818,1.000,.269,6,.500,.000,0,0,,kolokch01
402,Marcus Sasser,25,DET,PG,25,5,301,.434,18.8,.381,.124,.124,.071,.062,.619,.442,.643,.429,.250,.286,.429,.474,.800,.000,0,.229,.625,0,0,,sassema01
403,Blake Wesley,22,POR,SG,22,0,293,.449,11.4,.694,.398,.143,.092,.061,.306,.500,.692,.357,.111,.167,.333,.353,1.000,.010,1,.267,.375,0,0,,weslebl01
404,Jae'Sean Tate,30,HOU,SF,34,0,287,.513,10.8,.692,.269,.321,.090,.013,.308,.593,.714,.560,.286,1.000,.333,.625,.875,.013,1,.667,.375,0,0,,tateja01
405,Elijah Harkless,25,UTA,SG,18,2,285,.311,17.2,.432,.149,.149,.054,.081,.568,.406,.455,.455,.250,.333,.238,.308,1.000,.000,0,.333,.286,0,0,,harklej01
406,Zach Edey,23,MEM,C,11,11,284,.633,5.2,.949,.418,.469,.061,.000,.051,.656,.732,.630,.333,,.200,.820,1.000,.194,17,.000,,0,0,,edeyza01
407,Yang Hansen,20,POR,C,39,1,277,.301,13.9,.570,.215,.290,.065,.000,.430,.434,.700,.333,.000,,.125,.565,1.000,.097,6,.250,.100,0,0,,yangha01
408,Malaki Branham,22,WAS,SG,28,0,275,.473,13.2,.593,.253,.297,.033,.011,.407,.537,.609,.444,.667,1.000,.378,.552,.929,.033,2,.135,.200,0,0,,branhma01
409,Ty Jerome,28,MEM,SG,12,12,265,.482,16.7,.530,.101,.268,.137,.024,.470,.551,.706,.467,.696,.000,.405,.327,.281,.000,0,.038,1.000,0,0,,jeromty01
410,Brooks Barnhizer,23,OKC,SG,33,0,259,.380,12.7,.660,.240,.240,.140,.040,.340,.424,.583,.417,.286,.000,.294,.643,1.000,.060,2,.588,.400,0,0,,barnhbr01
411,Duop Reath,29,POR,C,32,0,258,.446,19.3,.257,.176,.081,.000,.000,.743,.526,.615,.333,,,.418,.700,.957,.027,1,.400,.455,0,0,,reathdu01
412,Kevon Looney,29,NOP,C,18,6,251,.442,7.5,.827,.558,.154,.058,.058,.173,.512,.655,.250,.000,.333,.111,.273,1.000,.019,0,.111,.000,0,0,,looneke01
413,Pat Connaughton,33,CHO,SG,32,0,248,.453,17.1,.387,.133,.240,.013,.000,.613,.552,.600,.556,.000,,.391,.750,1.000,.027,2,.326,.400,0,0,,connapa01
414,KJ Simpson,23,2TM,PG,17,2,246,.344,10.4,.594,.281,.167,.135,.010,.406,.368,.481,.250,.308,.000,.308,.286,.750,.021,2,.154,.500,0,0,,simpskj01
414,KJ Simpson,23,CHO,PG,14,2,223,.348,14.9,.562,.270,.157,.124,.011,.438,.380,.458,.286,.364,.000,.308,.316,.750,.011,1,.154,.500,0,0,,simpskj01
414,KJ Simpson,23,DEN,PG,3,0,23,.286,5.9,1.000,.429,.286,.286,.000,.000,.286,.667,.000,.000,,,.000,,.143,1,,,0,0,,simpskj01
415,Ron Harper Jr.,25,BOS,SF,20,2,238,.400,21.2,.187,.107,.053,.027,.000,.813,.643,.750,.250,1.000,,.344,.333,1.000,.013,1,.426,.346,0,0,,harpero02
416,Chris Paul,40,LAC,PG,16,0,228,.321,19.3,.464,.018,.125,.232,.089,.536,.308,1.000,.429,.154,.400,.333,.125,.500,.000,0,.133,.500,0,0,,paulch01
417,Bronny James,21,LAL,SG,32,1,224,.397,17.3,.540,.111,.143,.190,.095,.460,.382,.714,.222,.333,.333,.414,.462,.667,.079,4,.172,.000,0,0,,jamesbr02
418,Lindy Waters III,28,SAS,SG,34,0,222,.379,23.2,.121,.061,.030,.015,.015,.879,.625,.500,.500,1.000,1.000,.345,.600,.900,.015,1,.259,.467,0,0,,waterli01
419,Khaman Maluach,19,PHO,C,32,0,222,.547,7.1,.792,.623,.151,.019,.000,.208,.643,.727,.375,.000,,.182,.630,1.000,.245,12,.273,.333,0,0,,maluakh01
420,Dejounte Murray,29,NOP,PG,8,8,216,.547,14.1,.651,.217,.179,.208,.047,.349,.652,.652,.579,.727,.600,.351,.289,.692,.019,2,.162,.333,0,0,,murrade01
421,PJ Hall,23,2TM,C,19,2,214,.508,7.5,.915,.644,.220,.017,.034,.085,.500,.632,.231,.000,.000,.600,.741,1.000,.254,9,.600,.667,0,0,,hallpj01
421,PJ Hall,23,MEM,C,7,0,27,.556,11.3,.667,.333,.333,.000,.000,.333,.667,1.000,.333,,,.333,1.000,1.000,.111,1,.333,.000,0,0,,hallpj01
421,PJ Hall,23,CHO,C,12,2,187,.500,3.7,.960,.700,.200,.020,.040,.040,.479,.600,.200,.000,.000,1.000,.696,1.000,.280,8,1.000,1.000,0,0,,hallpj01
422,Scotty Pippen Jr.,25,MEM,PG,10,6,212,.448,13.0,.667,.240,.198,.188,.042,.333,.516,.739,.316,.444,.500,.313,.455,.800,.010,1,.156,.000,0,0,,pippesc02
423,Joan Beringer,19,MIN,PF,31,1,209,.667,1.7,1.000,.833,.167,.000,.000,.000,.667,.760,.200,,,,.800,,.383,23,,,0,0,,berinjo01
424,Andre Jackson Jr.,24,MIL,SG,34,0,205,.237,17.1,.424,.203,.102,.102,.017,.576,.320,.583,.167,.000,.000,.176,.625,.833,.136,6,.382,.077,0,0,,jacksan01
425,Taurean Prince,31,MIL,SF,10,0,202,.417,19.6,.292,.083,.104,.063,.042,.708,.429,.750,.200,.333,.500,.412,.667,1.000,.021,1,.500,.412,0,0,,princta02
