,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
76,Jaylon Tyson,23,CLE,SG,62,39,1691,.497,13.7,.548,.260,.227,.052,.010,.452,.529,.602,.489,.406,.167,.457,.711,.984,.052,23,.382,.439,0,0,,tysonja01
77,Michael Porter Jr.,27,BRK,SF,52,52,1689,.463,16.9,.494,.185,.130,.075,.103,.506,.567,.819,.464,.389,.374,.363,.653,.858,.053,47,.130,.317,0,0,,portemi01
78,Kawhi Leonard,34,LAC,SF,52,52,1687,.500,15.3,.650,.129,.202,.214,.105,.350,.565,.771,.551,.525,.421,.379,.349,.563,.048,41,.104,.378,0,0,AS,leonaka01
79,Jake LaRavia,24,LAL,PF,66,33,1680,.455,14.2,.523,.239,.224,.053,.007,.477,.581,.722,.495,.333,.333,.316,.679,.985,.055,24,.479,.282,1,0,,laravja01
80,Evan Mobley,24,CLE,PF,52,50,1680,.526,10.6,.722,.368,.248,.078,.028,.278,.608,.799,.409,.444,.316,.313,.630,.883,.214,141,.120,.261,1,0,,mobleev01
81,Derik Queen,21,NOP,C,67,45,1676,.481,8.0,.890,.408,.291,.098,.093,.110,.507,.622,.433,.367,.386,.269,.391,.889,.082,42,.343,.304,0,0,,queende01
82,Myles Turner,29,MIL,C,61,61,1676,.440,18.2,.410,.149,.138,.074,.049,.590,.517,.671,.430,.405,.464,.386,.719,1.000,.044,23,.190,.438,0,0,,turnemy01
83,Chet Holmgren,23,OKC,PF,57,57,1672,.551,11.6,.686,.346,.213,.087,.041,.314,.641,.797,.486,.456,.519,.354,.602,.959,.184,112,.180,.270,0,0,AS,holmgch01
84,Jarace Walker,22,IND,PF,66,31,1671,.409,16.0,.514,.163,.211,.089,.052,.486,.455,.584,.374,.436,.406,.361,.614,.936,.043,25,.156,.426,0,0,,walkeja02
85,Stephon Castle,21,SAS,PG,56,55,1671,.468,11.4,.701,.313,.262,.105,.021,.299,.535,.678,.418,.423,.429,.312,.364,.968,.079,50,.238,.313,0,0,,castlst01
86,Noah Clowney,21,BRK,PF,60,54,1669,.398,17.8,.375,.119,.202,.042,.012,.625,.502,.671,.437,.440,.143,.336,.622,1.000,.044,21,.293,.444,0,0,,clownno01
87,Bruce Brown,29,DEN,SG,67,2,1667,.461,10.5,.730,.315,.305,.091,.019,.270,.497,.735,.336,.316,.000,.363,.566,.951,.033,13,.469,.453,0,0,,brownbr01
88,Harrison Barnes,33,SAS,PF,61,49,1638,.445,17.3,.376,.154,.160,.054,.008,.624,.558,.743,.494,.269,.250,.377,.584,.973,.019,9,.517,.394,0,0,,barneha02
89,Devin Vassell,25,SAS,SG,53,51,1623,.437,19.2,.432,.083,.062,.179,.109,.568,.508,.608,.368,.518,.493,.383,.637,.955,.026,14,.306,.411,0,0,,vassede01
90,Josh Hart,30,NYK,SF,54,40,1622,.495,13.7,.588,.297,.149,.101,.040,.412,.577,.701,.514,.440,.250,.377,.685,.818,.024,12,.279,.439,0,0,,hartjo01
91,Andrew Nembhard,26,IND,PG,52,52,1621,.440,16.5,.613,.138,.168,.159,.148,.387,.489,.677,.444,.486,.369,.363,.340,.663,.006,3,.078,.286,0,0,,nembhan01
92,Kyle Kuzma,30,MIL,PF,60,35,1595,.491,11.8,.666,.303,.267,.069,.028,.334,.555,.741,.429,.262,.471,.363,.646,.932,.044,24,.338,.377,0,0,,kuzmaky01
93,Davion Mitchell,27,MIA,PG,56,56,1583,.479,14.0,.596,.202,.280,.068,.046,.404,.522,.566,.539,.357,.474,.416,.320,.855,.000,0,.108,.222,0,0,,mitchda01
94,Rui Hachimura,27,LAL,PF,54,35,1582,.503,16.7,.538,.155,.105,.153,.126,.462,.556,.680,.431,.514,.557,.442,.766,.980,.054,24,.429,.417,0,0,,hachiru01
95,LaMelo Ball,24,CHO,PG,57,54,1579,.399,18.4,.432,.124,.189,.095,.024,.568,.445,.587,.378,.398,.435,.364,.239,.634,.006,5,.124,.449,0,0,,ballla01
96,Ace Bailey,19,UTA,SF,59,48,1577,.445,16.0,.570,.158,.168,.098,.145,.430,.519,.692,.550,.385,.385,.349,.713,.929,.111,63,.296,.286,0,0,,baileac01
97,Luguentz Dort,26,OKC,SF,56,56,1576,.379,20.5,.292,.114,.060,.078,.040,.708,.489,.647,.259,.486,.389,.334,.734,1.000,.029,12,.205,.338,0,0,,dortlu01
98,Deandre Ayton,27,LAL,C,57,57,1565,.669,5.2,1.000,.418,.412,.141,.029,.000,.669,.820,.599,.449,.571,,.820,,.218,100,,,0,0,,aytonde01
99,Marcus Smart,31,LAL,SG,55,48,1561,.399,18.1,.396,.118,.165,.083,.031,.604,.494,.660,.357,.514,.538,.336,.518,.907,.002,0,.293,.427,0,0,,smartma01
100,Sion James,23,CHO,SG,67,19,1555,.372,17.0,.383,.221,.131,.023,.007,.617,.386,.515,.231,.143,.000,.364,.568,.940,.040,10,.380,.371,1,1,,jamessi01
101,Sam Hauser,28,BOS,PF,63,35,1555,.410,23.7,.153,.038,.028,.054,.032,.847,.526,.842,.357,.556,.250,.389,.725,.976,.002,1,.156,.439,0,0,,hausesa01
102,Jalen Duren,22,DET,C,56,56,1545,.638,3.8,1.000,.498,.445,.033,.023,.000,.638,.743,.561,.143,.533,,.642,,.253,153,,,0,0,AS,durenja01
103,Neemias Queta,26,BOS,C,62,61,1544,.633,3.8,.985,.558,.380,.040,.008,.015,.642,.749,.539,.250,.000,.000,.759,,.278,101,.167,.000,0,0,,quetane01
