Rk,Player,Age,Team,Pos,G,GS,MP,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,VALUE,AAV,ACE
25,Marvin Bagley III,26,2TM,PF,54,10,1075,0.654,18.4,2.5,0.7,3.2,0.142,1.3,-1.1,0.2,0.6,0.111953619,18.38753388,18387533.88
4,Daniel Gafford,27,DAL,C,51,40,1119,0.684,15.5,2.3,1.6,3.9,0.166,-0.6,1.2,0.6,0.7,0.104305352,18.25203252,18252032.52
135,Jaylon Tyson,23,CLE,SG,64,40,1727,0.614,18.9,2.4,1.6,4.1,0.114,0.7,-0.5,0.2,0.9,0.103696841,18.11653117,18116531.17
87,Craig Porter Jr.,25,CLE,PG,58,2,1024,0.516,12.5,1.1,1.4,2.5,0.116,0,2.2,2.1,1.1,0.090908119,17.98102981,17981029.81
192,Devin Vassell,25,SAS,SG,57,55,1745,0.575,18.2,1.9,2.1,4,0.111,0.1,0.2,0.4,1,0.080884317,17.84552846,17845528.46
101,Karlo Matković,24,NOP,PF,59,2,863,0.716,12.9,1.9,0.8,2.8,0.155,0.6,0.5,1.2,0.7,0.077262275,17.7100271,17710027.1
36,Jaime Jaquez Jr.,24,MIA,SF,65,1,1849,0.56,21.9,1.6,2,3.6,0.094,-0.2,0.3,0.1,1,0.073675206,17.57452575,17574525.75
44,Brandon Williams,26,DAL,PG,60,15,1320,0.569,25.1,1,1.2,2.2,0.081,0.1,0.3,0.4,0.8,0.069562199,17.43902439,17439024.39
199,Anfernee Simons,26,2TM,SG,55,5,1372,0.576,23.6,1.8,1.1,2.9,0.102,1.2,-1.4,-0.2,0.6,0.066590355,17.30352304,17303523.04
107,Bobby Portis,30,MIL,PF,67,9,1619,0.587,23.1,1.6,1.3,2.9,0.086,1.5,-1.6,-0.1,0.8,0.054242199,17.16802168,17168021.68
80,Jock Landale,30,2TM,C,65,26,1429,0.591,18.5,2.6,1.1,3.7,0.124,0.8,-1,-0.2,0.7,0.051578168,17.03252033,17032520.33
23,Jonas Valančiūnas,33,DEN,C,58,5,773,0.621,25.4,1.4,1,2.3,0.146,-0.2,-0.5,-0.7,0.3,0.050102946,16.89701897,16897018.97
126,Ryan Rollins,23,MIL,PG,69,62,2218,0.58,23.7,1.5,1.8,3.3,0.071,0.4,-0.4,0,1.1,0.045007224,16.76151762,16761517.62
